8724,3.0,1,77,1,0
74430,3.0,0,51,1,0
72255,3.0,0,47,1,0
38562,2.0,0,65,3,1
64486,4.0,0,61,1,0
46232,3.0,0,68,1,0
54542,5.0,1,57,1,0
67269,3.0,0,85,2,1
66174,4.0,0,75,1,0
76303,5.0,1,76,1,0
60245,5.0,1,50,2,1
42639,3.0,0,46,1,0
30963,3.0,0,52,1,0
54055,3.0,0,82,1,0
42996,5.0,1,58,1,0
12737,4.0,1,47,1,0
27561,5.0,0,56,1,0
26622,5.0,1,50,1,0
31582,3.0,1,64,1,0
29793,2.0,0,65,1,0
72735,5.0,0,47,1,0
5677,3.0,0,80,1,0
60889,3.0,0,83,1,0
51498,3.0,0,76,1,0
8566,4.0,1,58,1,0
53151,3.0,1,62,1,0
16203,4.0,1,50,1,0
61083,3.0,1,87,1,0
74849,3.0,0,61,1,0
13259,2.0,0,50,1,0
72407,4.0,0,87,2,1
65237,3.0,0,52,2,1
67672,3.0,1,85,1,0
77460,3.0,1,52,1,0
67317,3.0,0,77,4,2
68788,4.0,0,83,2,1
36834,3.0,1,55,1,0
64281,3.0,1,46,2,1
1822,3.0,0,51,3,1
55325,3.0,0,88,1,0
41432,5.0,1,90,1,0
52061,2.0,0,52,1,0
39973,5.0,1,66,1,0
42524,4.0,0,45,1,0
7935,5.0,0,80,1,0
49940,5.0,1,54,1,0
10059,3.0,0,83,3,1
44159,3.0,1,84,1,0
76691,4.0,1,59,1,0
3720,5.0,1,49,1,0
5621,3.0,0,76,1,0
24147,3.0,0,49,2,1
33997,2.0,0,50,1,0
64076,3.0,1,56,1,0
21379,3.0,1,85,1,0
23714,3.0,0,81,2,1
19866,3.0,0,79,2,1
4529,3.0,1,61,1,0
64703,2.0,0,62,1,0
19649,5.0,1,56,1,0
6596,4.0,0,49,1,0
7999,2.0,1,78,1,0
4762,3.0,0,46,1,0
5387,3.0,0,81,1,0
24620,4.0,1,60,1,0
57989,5.0,1,74,1,0
75619,2.0,0,51,1,0
26977,3.0,0,59,1,0
65975,5.0,1,84,2,1
51302,3.0,0,64,1,0
63714,3.0,0,76,1,0
70556,3.0,1,57,3,1
70117,3.0,0,84,1,0
51972,4.0,0,85,1,0
60572,3.0,0,50,1,0
9548,4.0,0,87,2,1
64,5.0,1,80,1,0
35510,3.0,0,68,1,0
10732,5.0,1,92,1,0
9214,3.0,0,58,1,0
10761,5.0,1,51,1,0
32110,2.0,0,48,1,0
50038,3.0,1,49,1,0
1555,3.0,1,80,1,0
21200,3.0,0,79,1,0
50380,4.0,0,48,1,0
45009,3.0,1,86,1,0
65450,2.0,0,83,2,1
77333,4.0,0,57,1,0
2347,5.0,1,82,2,1
8443,4.0,0,86,2,1
39490,3.0,0,55,1,0
69077,3.0,0,81,1,0
64652,4.0,0,72,1,0
